,customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,max,min,median,mean,routine_flg,calc_date,membership_period
708,TS511179,XXXXXX,C01,F,2016-05-01,2018-04-30 00:00:00,CA1,1,0_종일,10500,2_일반,3,3,3.0,3.0,0,2018-04-30,23
729,TS443736,XXXX,C02,M,2016-05-01,2018-04-30 00:00:00,CA1,1,1_주간,7500,2_일반,3,3,3.0,3.0,0,2018-04-30,23
730,HD542886,XX,C01,M,2016-05-01,2018-04-30 00:00:00,CA1,1,0_종일,10500,2_일반,1,1,1.0,1.0,0,2018-04-30,23
770,HD597545,XXXXX,C03,F,2016-06-01,2018-05-31 00:00:00,CA1,1,2_야간,6000,2_일반,4,3,3.5,3.5,1,2018-05-31,23
785,HI749296,XXXXX,C01,M,2016-06-01,2018-05-31 00:00:00,CA1,1,0_종일,10500,2_일반,3,3,3.0,3.0,0,2018-05-31,23
813,OA007936,XXXXX,C01,M,2016-06-01,2018-05-31 00:00:00,CA1,1,0_종일,10500,2_일반,4,2,3.0,3.0,0,2018-05-31,23
837,AS842977,XXXXX,C02,F,2016-06-01,2018-05-31 00:00:00,CA1,1,1_주간,7500,2_일반,5,3,4.0,4.0,1,2018-05-31,23
846,TS915632,XXXXX,C02,F,2016-07-01,2018-04-30 00:00:00,CA2,1,1_주간,7500,0_입회비반액할인,3,3,3.0,3.0,0,2018-04-30,21
847,HD805772,XXXX,C02,F,2016-07-01,2018-05-31 00:00:00,CA2,1,1_주간,7500,0_입회비반액할인,3,3,3.0,3.0,0,2018-05-31,22
857,IK942599,XXXXX,C02,F,2016-07-01,2018-05-31 00:00:00,CA2,1,1_주간,7500,0_입회비반액할인,2,1,1.5,1.5,0,2018-05-31,22
865,GD049091,XXX,C03,F,2016-07-01,2018-05-31 00:00:00,CA2,1,2_야간,6000,0_입회비반액할인,3,1,2.0,2.0,0,2018-05-31,22
877,HI292376,XX,C01,F,2016-07-01,2018-04-30 00:00:00,CA2,1,0_종일,10500,0_입회비반액할인,3,3,3.0,3.0,0,2018-04-30,21
886,TS311640,XXX,C01,F,2016-07-01,2018-05-31 00:00:00,CA2,1,0_종일,10500,0_입회비반액할인,6,3,4.5,4.5,0,2018-05-31,22
901,PL396593,XX,C01,M,2016-07-01,2018-05-31 00:00:00,CA2,1,0_종일,10500,0_입회비반액할인,5,3,4.0,4.0,1,2018-05-31,22
921,IK938859,XXXXXX,C01,M,2016-08-01,2018-04-30 00:00:00,CA1,1,0_종일,10500,2_일반,4,4,4.0,4.0,0,2018-04-30,20
931,AS888896,XXXX,C01,F,2016-08-01,2018-05-31 00:00:00,CA1,1,0_종일,10500,2_일반,3,3,3.0,3.0,0,2018-05-31,21
973,HD262908,XXXXX,C03,F,2016-08-01,2018-06-30 00:00:00,CA1,1,2_야간,6000,2_일반,4,1,2.0,2.3333333333333335,0,2018-06-30,22
989,TS619017,XXXX,C03,M,2016-09-01,2018-04-30 00:00:00,CA1,1,2_야간,6000,2_일반,1,1,1.0,1.0,0,2018-04-30,19
995,PL391002,XX,C01,M,2016-09-01,2018-04-30 00:00:00,CA1,1,0_종일,10500,2_일반,2,2,2.0,2.0,0,2018-04-30,19
1002,IK616996,XXX,C01,M,2016-09-01,2018-05-31 00:00:00,CA1,1,0_종일,10500,2_일반,2,1,1.5,1.5,0,2018-05-31,20
1019,HI549569,XXXXX,C01,F,2016-09-01,2018-05-31 00:00:00,CA1,1,0_종일,10500,2_일반,4,2,3.0,3.0,1,2018-05-31,20
1024,HI248417,XXXXXX,C03,F,2016-09-01,2018-05-31 00:00:00,CA1,1,2_야간,6000,2_일반,1,1,1.0,1.0,0,2018-05-31,20
1055,HD944583,XXXX,C02,F,2016-09-01,2018-07-31 00:00:00,CA1,1,1_주간,7500,2_일반,6,3,4.0,4.25,1,2018-07-31,22
1061,OA568136,XXXXX,C03,F,2016-10-01,2018-05-31 00:00:00,CA1,1,2_야간,6000,2_일반,5,1,3.0,3.0,0,2018-05-31,19
1062,AS047907,XXX,C01,M,2016-10-01,2018-08-31 00:00:00,CA1,1,0_종일,10500,2_일반,5,3,4.0,4.0,1,2018-08-31,22
1063,AS280744,XXX,C02,M,2016-10-01,2018-09-30 00:00:00,CA1,1,1_주간,7500,2_일반,4,1,4.0,3.5,1,2018-09-30,23
1064,TS982240,XXXXX,C02,F,2016-10-01,2018-04-30 00:00:00,CA1,1,1_주간,7500,2_일반,3,3,3.0,3.0,0,2018-04-30,18
1065,OA308827,XXX,C01,F,2016-10-01,2018-08-31 00:00:00,CA1,1,0_종일,10500,2_일반,3,1,2.0,2.2,0,2018-08-31,22
1066,IK147368,XXXX,C03,F,2016-10-01,2018-09-30 00:00:00,CA1,1,2_야간,6000,2_일반,3,1,3.0,2.5,0,2018-09-30,23
1068,OA078433,XXXXX,C03,M,2016-10-01,2018-08-31 00:00:00,CA1,1,2_야간,6000,2_일반,7,2,2.0,3.6,1,2018-08-31,22
1069,AS934534,XXXX,C01,M,2016-10-01,2018-09-30 00:00:00,CA1,1,0_종일,10500,2_일반,4,1,3.0,2.8333333333333335,1,2018-09-30,23
1070,HI467357,XXXX,C02,F,2016-10-01,2018-08-31 00:00:00,CA1,1,1_주간,7500,2_일반,5,1,2.0,2.4,1,2018-08-31,22
1071,OA422514,XXXXXX,C01,F,2016-10-01,2018-09-30 00:00:00,CA1,1,0_종일,10500,2_일반,4,1,2.5,2.6666666666666665,0,2018-09-30,23
1072,PL442689,XXXXX,C02,F,2016-10-01,2018-04-30 00:00:00,CA1,1,1_주간,7500,2_일반,2,2,2.0,2.0,0,2018-04-30,18
1130,AS700549,XXXX,C01,F,2016-10-01,2018-04-30 00:00:00,CA1,1,0_종일,10500,2_일반,1,1,1.0,1.0,0,2018-04-30,18
1138,AS515861,XXXXX,C03,M,2016-11-01,2018-08-31 00:00:00,CA1,1,2_야간,6000,2_일반,6,2,2.0,3.0,1,2018-08-31,21
1145,TS397712,XXXX,C02,F,2016-11-01,2018-09-30 00:00:00,CA1,1,1_주간,7500,2_일반,5,2,2.5,3.0,1,2018-09-30,22
1159,OA179234,XXXXX,C01,M,2016-11-01,2018-07-31 00:00:00,CA1,1,0_종일,10500,2_일반,3,1,2.0,2.0,0,2018-07-31,20
1167,OA334079,XXXXXX,C02,F,2016-11-01,2018-04-30 00:00:00,CA1,1,1_주간,7500,2_일반,2,2,2.0,2.0,0,2018-04-30,17
1168,PL128063,XXXX,C01,M,2016-11-01,2018-04-30 00:00:00,CA1,1,0_종일,10500,2_일반,2,2,2.0,2.0,0,2018-04-30,17
1174,IK672859,XXXXX,C01,M,2016-11-01,2018-05-31 00:00:00,CA1,1,0_종일,10500,2_일반,4,1,2.5,2.5,0,2018-05-31,18
1201,AS383234,XXXXXX,C02,M,2016-12-01,2018-05-31 00:00:00,CA1,1,1_주간,7500,2_일반,4,2,3.0,3.0,0,2018-05-31,17
1206,HI779743,XXXXXX,C02,M,2016-12-01,2018-08-31 00:00:00,CA1,1,1_주간,7500,2_일반,3,1,2.0,2.0,0,2018-08-31,20
1212,TS348223,XXX,C03,F,2016-12-01,2018-05-31 00:00:00,CA1,1,2_야간,6000,2_일반,3,2,2.5,2.5,0,2018-05-31,17
