,customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,max,min,median,mean,routine_flg,calc_date,membership_period
0,OA832399,XXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,8,2,5.0,4.833333333333333,1,2019-04-30,47
1,PL270116,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,3,5.0,5.083333333333333,1,2019-04-30,47
2,OA974876,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,6,3,5.0,4.583333333333333,1,2019-04-30,47
3,HD024127,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,2,4.5,4.833333333333333,1,2019-04-30,47
4,HD661448,XXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,6,1,4.0,3.9166666666666665,1,2019-04-30,47
5,IK271057,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,5,2,3.5,3.75,1,2019-04-30,47
6,HI324666,XXXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,2,3.5,3.9166666666666665,1,2019-04-30,47
7,AS647421,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,9,2,4.0,4.5,1,2019-04-30,47
8,AS069821,XXXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,7,2,3.5,4.083333333333333,1,2019-04-30,47
9,GD039425,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,3,4.5,4.666666666666667,1,2019-04-30,47
10,OA789036,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,7,1,5.0,4.75,1,2019-04-30,47
11,AS058623,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,6,3,5.0,4.5,1,2019-04-30,47
12,AS857207,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,8,2,5.0,4.5,1,2019-04-30,47
13,AS625883,XXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,6,2,5.0,4.75,1,2019-04-30,47
14,HD782984,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,7,2,5.0,4.833333333333333,1,2019-04-30,47
15,HI804186,XXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,7,2,5.0,4.833333333333333,1,2019-04-30,47
16,AS732240,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,7,2,5.0,4.666666666666667,1,2019-04-30,47
17,PL834411,XXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,8,1,4.5,4.916666666666667,1,2019-04-30,47
18,HD516059,XXX,C03,M,2015-05-01,,CA1,0,2_야간,6000,2_일반,7,1,4.0,4.166666666666667,1,2019-04-30,47
19,HD194702,XXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,8,1,5.0,4.916666666666667,1,2019-04-30,47
20,IK102369,XXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,6,3,5.0,4.75,1,2019-04-30,47
21,AS183155,XXXXX,C03,F,2015-05-01,,CA1,0,2_야간,6000,2_일반,7,2,4.5,4.5,1,2019-04-30,47
22,HI339146,XXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,2,4.5,4.5,1,2019-04-30,47
23,AS476267,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,7,3,5.0,4.916666666666667,1,2019-04-30,47
24,PL928545,XXXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,7,2,4.0,4.333333333333333,1,2019-04-30,47
25,OA372777,XXXXX,C03,M,2015-05-01,,CA1,0,2_야간,6000,2_일반,6,1,4.0,3.6666666666666665,1,2019-04-30,47
26,PL765022,XXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,3,4.5,4.583333333333333,1,2019-04-30,47
27,OA803393,XXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,8,2,4.5,4.75,1,2019-04-30,47
28,OA071756,XXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,6,2,4.0,4.166666666666667,1,2019-04-30,47
29,HI598974,XXX,C03,M,2015-05-01,,CA1,0,2_야간,6000,2_일반,7,3,5.0,5.083333333333333,1,2019-04-30,47
30,GD214739,XXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,8,3,5.0,5.416666666666667,1,2019-04-30,47
31,OA557824,XXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,8,1,4.0,4.25,1,2019-04-30,47
32,IK098074,XX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,1,3.5,4.083333333333333,1,2019-04-30,47
33,HD792156,XXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,2,5.0,4.666666666666667,1,2019-04-30,47
34,OA478509,XXXX,C02,M,2015-05-01,,CA1,0,1_주간,7500,2_일반,7,2,5.0,4.666666666666667,1,2019-04-30,47
35,HI388582,XX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,6,3,5.0,4.833333333333333,1,2019-04-30,47
36,TS210661,XXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,8,3,4.5,4.833333333333333,1,2019-04-30,47
37,TS837282,XXXXXX,C01,F,2015-05-01,,CA1,0,0_종일,10500,2_일반,8,3,5.5,5.583333333333333,1,2019-04-30,47
38,OA758157,XXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,6,2,4.0,4.0,1,2019-04-30,47
39,OA790739,XXXX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,7,3,5.0,4.833333333333333,1,2019-04-30,47
40,AS734592,XX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,8,2,6.0,5.333333333333333,1,2019-04-30,47
41,GD022268,XXX,C02,M,2015-05-01,,CA1,0,1_주간,7500,2_일반,7,1,5.0,4.166666666666667,1,2019-04-30,47
42,IK059803,XXXXX,C02,F,2015-05-01,,CA1,0,1_주간,7500,2_일반,6,3,4.0,4.25,1,2019-04-30,47
43,TS487207,XX,C01,M,2015-05-01,,CA1,0,0_종일,10500,2_일반,6,2,4.0,4.0,1,2019-04-30,47
